PROPERTY_ID,ADDRESS,PROPERTY_TYPE,LOT_SIZE,LATITUDE,LONGITUDE,TOTAL_VALUE,LAND_VALUE,BUILDING_VALUE,GROSS_AREA,YEAR_BUILT,BUILDING_AGE,NEIGHBORHOOD,USE_CODE,TAX_STATUS,CONDO_FLAG,CORRIDOR_SEGMENT,SIZE_CATEGORY,DISTANCE_TO_RED_LINE,TRANSIT_ACCESSIBILITY,GENERAL_USE_CATEGORY,NEIGHBORHOOD_DENSITY,GEOCODING_CORRECTED,GEOCODING_METHOD,GEOCODING_CONFIDENCE,ORIGINAL_LAT,ORIGINAL_LON,GEOCODING_NOTE
151-77,7 Harris St,RES-UDV-LAND,294.0,42.38420102528296,-71.11453213759073,,,,,,,8.0,132,,False,Porter Square Area,Small,680.5774092572253,0.5261430365466035,Other,615,False,original,1.0,42.38420102528296,-71.11453213759073,Original coordinates
154-73,1749 Massachusetts Ave,GEN-OFFICE,3382.0,42.38469798249467,-71.11903631455134,,,,,,,8.0,340,,False,Porter Square Area,Medium,410.9437130349127,0.7138774555836166,Commercial,615,False,original,1.0,42.38469798249467,-71.11903631455134,Original coordinates
133-15,1208-1210 Massachusetts Ave,RETAIL-OFFIC,3118.0,42.37185348731224,-71.11541498412934,,,,,,,7.0,345,,False,Harvard Square Area,Medium,442.6471433292647,0.6918037120152929,Commercial,839,False,original,1.0,42.37185348731224,-71.11541498412934,Original coordinates
154-47,55 Garfield St,4-8-UNIT-APT,6417.0,42.38388800546298,-71.1171787273383,,,,,,,8.0,111,,False,Porter Square Area,Large,540.0937530394959,0.6239558023608802,Multi-Family,615,False,original,1.0,42.38388800546298,-71.1171787273383,Original coordinates
115-90,303 Harvard St,>8-UNIT-APT,7128.0,42.36999853411043,-71.10589939116437,,,,,,,6.0,112,,False,Harvard Square Area,Large,660.0644318165519,0.5404253460520485,Multi-Family,1335,False,original,1.0,42.36999853411043,-71.10589939116437,Original coordinates
79-35,330 Columbia St,TWO-FAM-RES,3212.0,42.37100420594583,-71.09521788741812,,,,,,,3.0,104,,False,Harvard Square Area,Medium,1129.0240681680618,0.21390879372295526,Residential,328,False,original,1.0,42.37100420594583,-71.09521788741812,Original coordinates
117-29,875 Massachusetts Ave,OFFICE-CONDO,9265.0,42.367925680387785,-71.10726678995668,,,,,,,6.0,343,,False,Harvard Square Area,Large,576.1722765202416,0.5988358683902146,Commercial,1335,False,original,1.0,42.367925680387785,-71.10726678995668,Original coordinates
154-80,10 Prentiss St,SNGL-FAM-RES,3197.0,42.38424704845438,-71.11864923406009,,,,,,,8.0,101,,False,Porter Square Area,Medium,462.61896125530785,0.6778981887517341,Residential,615,False,original,1.0,42.38424704845438,-71.11864923406009,Original coordinates
200-50,13 Regent St,TWO-FAM-RES,4672.0,42.39027559695619,-71.12208454537294,,,,,,,11.0,104,,False,Porter Square Area,Medium,400.71283033333026,0.721000781959834,Residential,234,False,original,1.0,42.39027559695619,-71.12208454537294,Original coordinates
176-88,21 Lancaster St,TWO-FAM-RES,3328.0,42.38578014651208,-71.12106947196632,,,,,,,9.0,104,,True,Porter Square Area,Medium,370.58620514329226,0.7419766635237406,Residential,591,False,original,1.0,42.38578014651208,-71.12106947196632,Original coordinates
